Start  Time: 2020/10/02, 16:10:42.634
Export Time: 2020/10/02, 16:11:11.388
Min  (dBA):   45.4
Max  (dBA):   78.5
Peak (dBA):   88.0
Avg  (dBA):   53.7
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
55.8,0.2
56.1,0.2
56.5,0.2
56.0,0.2
55.4,0.2
56.6,0.2
58.9,0.2
58.4,0.2
57.5,0.2
57.4,0.2
57.6,0.2
56.2,0.2
55.9,0.2
56.8,0.2
57.1,0.2
55.6,0.2
56.9,0.2
55.4,0.2
55.8,0.2
55.9,0.2
55.6,0.2
55.8,0.2
57.1,0.2
55.7,0.2
55.8,0.2
55.8,0.2
55.7,0.2
56.1,0.2
55.4,0.2
55.2,0.2
55.9,0.2
55.5,0.2
55.1,0.2
55.4,0.2
55.6,0.2
55.3,0.2
55.5,0.2
56.2,0.2
55.9,0.2
56.6,0.2
55.6,0.2
56.1,0.2
55.6,0.2
55.9,0.2
55.6,0.2
55.9,0.2
56.3,0.2
55.4,0.2
55.6,0.2
55.8,0.2
55.6,0.2
55.6,0.2
56.0,0.2
55.2,0.2
55.5,0.2
55.8,0.2
55.4,0.2
55.6,0.2
55.6,0.2
56.2,0.2
55.8,0.2
55.7,0.2
55.1,0.2
55.9,0.2
55.3,0.2
55.8,0.2
55.3,0.2
55.4,0.2
55.0,0.2
56.1,0.2
56.1,0.2
55.3,0.2
55.7,0.2
55.6,0.2
55.4,0.2
55.0,0.2
55.4,0.2
55.4,0.2
55.9,0.2
55.7,0.2
56.2,0.2
55.7,0.2
55.7,0.2
55.8,0.2
55.6,0.2
55.7,0.2
55.5,0.2
55.6,0.2
55.8,0.2
55.6,0.2
55.9,0.2
55.8,0.2
55.9,0.2
56.4,0.2
56.2,0.2
55.3,0.2
55.2,0.2
55.7,0.2
55.7,0.2
55.1,0.2
55.5,0.2
56.3,0.2
55.8,0.2
55.8,0.2
54.8,0.2
56.0,0.2
55.8,0.2
56.0,0.2
56.1,0.2
55.7,0.2
56.1,0.2
55.7,0.2
55.7,0.2
55.9,0.2
55.7,0.2
55.5,0.2
55.4,0.2
55.6,0.2
55.3,0.2
56.3,0.2
56.6,0.2
55.9,0.2
56.5,0.2
57.0,0.2
56.3,0.2
55.9,0.2
54.8,0.2
55.7,0.2
56.2,0.2
56.5,0.2
55.5,0.2
55.6,0.2
55.6,0.2
55.1,0.2
55.7,0.2
56.2,0.2
55.7,0.2
56.4,0.2
55.5,0.2
55.5,0.2
55.1,0.2
55.7,0.2
55.7,0.2
55.6,0.2
55.4,0.2
55.2,0.2
56.1,0.2
57.2,0.2
55.7,0.2
55.9,0.2
55.2,0.2
55.5,0.2
55.8,0.2
55.4,0.2
56.0,0.2
55.7,0.2
55.1,0.2
54.8,0.2
55.0,0.2
55.2,0.2
55.7,0.2
55.6,0.2
55.1,0.2
55.0,0.2
55.4,0.2
55.8,0.2
55.4,0.2
56.2,0.2
55.6,0.2
55.4,0.2
54.9,0.2
55.2,0.2
55.5,0.2
55.4,0.2
55.2,0.2
56.0,0.2
55.9,0.2
55.5,0.2
55.1,0.2
55.7,0.2
55.9,0.2
56.3,0.2
55.6,0.2
55.1,0.2
55.0,0.2
55.2,0.2
55.7,0.2
55.4,0.2
54.8,0.2
54.9,0.2
55.6,0.2
55.7,0.2
55.3,0.2
56.1,0.2
55.1,0.2
55.5,0.2
55.7,0.2
54.7,0.2
55.1,0.2
54.9,0.2
55.3,0.2
55.0,0.2
55.4,0.2
54.9,0.2
55.2,0.2
55.7,0.2
55.8,0.2
55.5,0.2
55.3,0.2
54.8,0.2
55.0,0.2
56.2,0.2
55.8,0.2
55.5,0.2
55.9,0.2
55.3,0.2
55.9,0.2
55.7,0.2
55.7,0.2
55.9,0.2
56.4,0.2
55.8,0.2
55.8,0.2
55.7,0.2
56.5,0.2
56.1,0.2
56.0,0.2
56.3,0.2
56.4,0.2
56.6,0.2
56.2,0.2
55.7,0.2
55.2,0.2
55.8,0.2
56.2,0.2
56.0,0.2
56.1,0.2
56.3,0.2
56.5,0.2
56.5,0.2
55.6,0.2
55.5,0.2
55.5,0.2
56.2,0.2
55.8,0.2
56.6,0.2
56.3,0.2
56.0,0.2
56.3,0.2
56.6,0.2
56.2,0.2
55.8,0.2
56.2,0.2
56.4,0.2
55.9,0.2
56.0,0.2
56.0,0.2
57.0,0.2
56.9,0.2
56.3,0.2
56.0,0.2
56.1,0.2
56.5,0.2
55.9,0.2
56.0,0.2
55.9,0.2
55.9,0.2
55.2,0.2
55.7,0.2
56.1,0.2
56.1,0.2
56.3,0.2
56.0,0.2
55.7,0.2
55.6,0.2
56.6,0.2
56.2,0.2
56.3,0.2
56.4,0.2
56.5,0.2
56.2,0.2
56.1,0.2
56.3,0.2
55.9,0.2
56.3,0.2
56.1,0.2
55.5,0.2
56.3,0.2
56.0,0.2
55.6,0.2
55.7,0.2
56.1,0.2
55.9,0.2
56.4,0.2
56.5,0.2
57.7,0.2
57.9,0.2
55.9,0.2
56.1,0.2
55.5,0.2
55.7,0.2
55.6,0.2
55.6,0.2
56.1,0.2
55.6,0.2
55.7,0.2
55.3,0.2
55.6,0.2
55.9,0.2
56.5,0.2
56.1,0.2
56.2,0.2
55.0,0.2
55.7,0.2
55.7,0.2
55.5,0.2
55.1,0.2
55.6,0.2
55.2,0.2
55.2,0.2
55.3,0.2
55.6,0.2
55.7,0.2
55.3,0.2
55.4,0.2
55.5,0.2
55.3,0.2
55.7,0.2
55.8,0.2
55.1,0.2
55.4,0.2
55.6,0.2
55.4,0.2
55.7,0.2
55.5,0.2
55.6,0.2
56.1,0.2
56.7,0.2
56.4,0.2
55.7,0.2
55.6,0.2
55.6,0.2
55.9,0.2
55.4,0.2
55.4,0.2
55.8,0.2
54.6,0.2
54.8,0.2
54.9,0.2
55.2,0.2
55.4,0.2
54.9,0.2
55.9,0.2
55.3,0.2
55.8,0.2
56.2,0.2
55.3,0.2
55.3,0.2
56.3,0.2
56.0,0.2
55.3,0.2
55.9,0.2
55.2,0.2
55.7,0.2
55.8,0.2
55.7,0.2
55.3,0.2
56.1,0.2
56.1,0.2
55.7,0.2
56.1,0.2
56.3,0.2
56.3,0.2
55.9,0.2
56.5,0.2
55.7,0.2
55.4,0.2
55.9,0.2
56.3,0.2
55.9,0.2
56.5,0.2
56.1,0.2
55.4,0.2
55.5,0.2
55.4,0.2
55.4,0.2
55.4,0.2
56.4,0.2
56.1,0.2
55.4,0.2
55.3,0.2
55.3,0.2
55.4,0.2
56.0,0.2
55.6,0.2
55.8,0.2
55.4,0.2
56.2,0.2
55.8,0.2
55.9,0.2
56.4,0.2
55.9,0.2
56.3,0.2
56.1,0.2
55.7,0.2
54.8,0.2
55.5,0.2
55.9,0.2
55.6,0.2
55.7,0.2
57.0,0.2
61.4,0.2
56.9,0.2
56.2,0.2
56.5,0.2
55.5,0.2
56.1,0.2
56.1,0.2
55.2,0.2
55.9,0.2
56.0,0.2
55.5,0.2
55.5,0.2
55.7,0.2
56.5,0.2
56.4,0.2
55.5,0.2
56.4,0.2
56.0,0.2
55.9,0.2
56.2,0.2
55.8,0.2
56.6,0.2
55.6,0.2
56.0,0.2
55.0,0.2
56.1,0.2
56.3,0.2
55.5,0.2
55.4,0.2
56.1,0.2
55.1,0.2
56.0,0.2
55.5,0.2
56.2,0.2
56.3,0.2
55.7,0.2
56.5,0.2
55.6,0.2
55.9,0.2
55.7,0.2
55.7,0.2
55.9,0.2
55.4,0.2
55.9,0.2
56.1,0.2
55.6,0.2
55.5,0.2
56.0,0.2
55.5,0.2
55.1,0.2
55.6,0.2
55.8,0.2
56.1,0.2
56.0,0.2
55.8,0.2
55.2,0.2
55.3,0.2
55.8,0.2
55.7,0.2
56.4,0.2
55.6,0.2
55.2,0.2
55.1,0.2
55.3,0.2
55.8,0.2
56.1,0.2
55.5,0.2
55.1,0.2
55.4,0.2
55.0,0.2
55.6,0.2
55.3,0.2
54.5,0.2
56.3,0.2
56.1,0.2
55.7,0.2
55.6,0.2
56.0,0.2
54.9,0.2
55.2,0.2
55.5,0.2
55.0,0.2
55.4,0.2
55.1,0.2
55.8,0.2
55.6,0.2
55.3,0.2
55.2,0.2
55.1,0.2
54.9,0.2
55.5,0.2
55.5,0.2
55.0,0.2
55.8,0.2
54.8,0.2
55.3,0.2
55.4,0.2
55.7,0.2
55.6,0.2
55.3,0.2
54.6,0.2
54.6,0.2
55.5,0.2
55.4,0.2
55.5,0.2
55.1,0.2
54.4,0.2
55.1,0.2
55.1,0.2
56.3,0.2
55.0,0.2
55.2,0.2
54.5,0.2
55.2,0.2
55.5,0.2
55.1,0.2
55.4,0.2
54.9,0.2
55.8,0.2
55.7,0.2
55.4,0.2
55.0,0.2
55.5,0.2
55.3,0.2
55.3,0.2
55.2,0.2
55.6,0.2
55.8,0.2
55.1,0.2
55.3,0.2
55.1,0.2
55.0,0.2
55.2,0.2
55.9,0.2
54.8,0.2
55.7,0.2
56.2,0.2
55.8,0.2
55.5,0.2
55.2,0.2
54.9,0.2
55.0,0.2
55.0,0.2
55.6,0.2
56.4,0.2
56.0,0.2
55.4,0.2
55.8,0.2
55.8,0.2
55.5,0.2
55.2,0.2
55.5,0.2
55.5,0.2
55.0,0.2
55.7,0.2
55.6,0.2
55.9,0.2
56.1,0.2
55.9,0.2
55.7,0.2
55.0,0.2
55.8,0.2
55.3,0.2
56.0,0.2
55.6,0.2
55.8,0.2
55.1,0.2
55.2,0.2
55.8,0.2
55.5,0.2
55.4,0.2
55.2,0.2
56.0,0.2
55.7,0.2
55.5,0.2
55.4,0.2
56.4,0.2
54.8,0.2
55.5,0.2
55.8,0.2
55.9,0.2
54.8,0.2
55.5,0.2
55.3,0.2
55.4,0.2
55.8,0.2
56.0,0.2
55.6,0.2
55.4,0.2
55.9,0.2
55.5,0.2
54.4,0.2
55.9,0.2
55.2,0.2
55.3,0.2
54.9,0.2
55.1,0.2
56.0,0.2
55.9,0.2
55.8,0.2
55.1,0.2
55.3,0.2
55.7,0.2
55.6,0.2
55.2,0.2
55.5,0.2
55.8,0.2
55.5,0.2
54.7,0.2
54.5,0.2
55.1,0.2
55.0,0.2
55.3,0.2
55.5,0.2
55.2,0.2
55.5,0.2
55.0,0.2
55.0,0.2
55.4,0.2
55.0,0.2
55.1,0.2
55.9,0.2
55.4,0.2
55.1,0.2
54.9,0.2
54.8,0.2
55.1,0.2
55.3,0.2
55.6,0.2
55.3,0.2
55.3,0.2
54.7,0.2
55.4,0.2
55.3,0.2
55.5,0.2
55.6,0.2
55.0,0.2
55.0,0.2
54.9,0.2
55.1,0.2
55.2,0.2
55.1,0.2
55.3,0.2
55.1,0.2
55.0,0.2
55.1,0.2
54.9,0.2
55.1,0.2
55.2,0.2
55.4,0.2
55.3,0.2
55.7,0.2
55.3,0.2
55.7,0.2
55.7,0.2
55.2,0.2
54.8,0.2
55.8,0.2
54.5,0.2
55.0,0.2
55.1,0.2
55.2,0.2
55.1,0.2
55.1,0.2
55.3,0.2
55.2,0.2
55.5,0.2
55.6,0.2
55.3,0.2
55.4,0.2
55.3,0.2
55.0,0.2
54.7,0.2
55.2,0.2
55.3,0.2
56.0,0.2
55.6,0.2
55.4,0.2
55.4,0.2
55.2,0.2
55.4,0.2
55.3,0.2
56.1,0.2
55.2,0.2
55.3,0.2
55.7,0.2
56.3,0.2
56.6,0.2
56.1,0.2
55.5,0.2
55.8,0.2
56.1,0.2
55.1,0.2
55.5,0.2
56.3,0.2
55.1,0.2
55.8,0.2
55.4,0.2
55.8,0.2
55.2,0.2
55.4,0.2
56.0,0.2
55.2,0.2
55.7,0.2
56.6,0.2
55.5,0.2
56.9,0.2
56.5,0.2
55.6,0.2
55.0,0.2
55.8,0.2
56.3,0.2
55.9,0.2
55.4,0.2
55.8,0.2
55.5,0.2
55.8,0.2
55.4,0.2
55.3,0.2
55.0,0.2
56.9,0.2
55.5,0.2
55.9,0.2
55.8,0.2
55.8,0.2
54.4,0.2
55.0,0.2
56.0,0.2
55.5,0.2
55.2,0.2
55.1,0.2
55.8,0.2
55.0,0.2
55.8,0.2
55.7,0.2
55.3,0.2
54.9,0.2
55.1,0.2
56.2,0.2
55.4,0.2
55.3,0.2
55.6,0.2
55.9,0.2
55.0,0.2
55.3,0.2
54.8,0.2
55.0,0.2
55.4,0.2
50.1,0.2
48.4,0.2
